ID PUNTO DE VENTA,PUNTO DE VENTA,ID SAP,PAÍS,ID REGIONAL,REGIONAL,DEPARTAMENTO,ID CIUDAD,CIUDAD,CEDI,ID ZONA,LATITUD,LONGITUD,ID CANAL,CANAL,ID SUBCANAL,SUBCANAL,ID TIPOLOGÍA,TIPOLOGÍA,ID CADENA,CADENA,ID SEGMENTO,SEGMENTO,ESTADO,DIRECCIÓN,ID BARRIO,BARRIO,CLIENTE ID,CLIENTE,ESTADO ASOC CLIENTE,ID LAB
2271063,7 BOCAS,101050815.0,COLOMBIA,39380002,COSTA,ATLÁNTICO,8001,BARRANQUILLA,POSTOBON BARRANQUILLA,,10.98546257,-74.79980586,7761,MINIMERCADOS,286927,AUTOSERVICIOS,312428,C,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,KR 41 63 99,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,101050815.0
2270558,936 CEDI FUNZA 2,8337023113.0,COLOMBIA,39380001,CENTRO SUR,CUNDINAMARCA,25286,FUNZA,POSTOBON BARRANQUILLA,,4.6979854,-74.201486,224426,GRANDES CUENTAS,286299,EXITO,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,301986,EXITO,ACTIVO,KM 1 5 VIA FUNZA PARQUE INDUSTRIAL,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,8337023113.0
2270559,936 CEDI MONTEVIDEO 2 ALIADOS-MISUR,8337020143.0,COLOMBIA,39380001,CENTRO SUR,CUNDINAMARCA,25286,FUNZA,CEDI MADRID,,4.6984253,-74.1980019,224426,GRANDES CUENTAS,286299,EXITO,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,301986,EXITO,ACTIVO,KM 1 5 PARQUE IND SAN CARLOS 1,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,8337020143.0
2270560,939 CEDI BARRANQUILLA 2,101014897.0,COLOMBIA,39380002,COSTA,ATLÁNTICO,8433,MALAMBO,POSTOBON BARRANQUILLA,,10.8575824,-74.7746834,224426,GRANDES CUENTAS,286299,EXITO,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,301986,EXITO,ACTIVO,CT 3 1 52,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,101014897.0
2270561,939 CEDI BARRANQUILLA 2 ALIADOS-MIS,101030904.0,COLOMBIA,39380002,COSTA,ATLÁNTICO,8433,MALAMBO,POSTOBON BARRANQUILLA,,10.8646287,-74.7752456,224426,GRANDES CUENTAS,286299,EXITO,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,301986,EXITO,ACTIVO,AVDA 2 0 0 PIMSABG S EXITO,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,101030904.0
2270562,944 CEDI YUMBO 2 ALIADOS-MISURTII,103148596.0,COLOMBIA,39380003,OCCIDENTE,VALLE DEL CAUCA,76892,YUMBO,POSTOBON YUMBO,,3.4973753,-76.5050065,224426,GRANDES CUENTAS,286299,EXITO,308956,NO APLICA   ,1959,ALMACENES EXITO S.A.,301986,EXITO,ACTIVO,KR 36A 16 79,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,103148596.0
2270563,95 - PLATAFORMA CROSSDOCKING CALI,103148160.0,COLOMBIA,39380003,OCCIDENTE,VALLE DEL CAUCA,76892,YUMBO,POSTOBON YUMBO,,3.5029763,-76.5026192,224426,GRANDES CUENTAS,285142,CENCOSUD,308956,NO APLICA   ,1955,CENCOSUD,268637,CENCOSUD,ACTIVO,CL 35 A 16 80 BG 9 PQ INDUST CORTIJ,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,103148160.0
2271064,ABARROTES SANTA ELENA.,106052468.0,COLOMBIA,39380004,ANTIOQUIA,ANTIOQUIA,5001,MEDELLIN,POSTOBON BELLO,,6.276687,-75.581252,7761,MINIMERCADOS,286927,AUTOSERVICIOS,312428,C,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,CL 49 42 15,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,106052468.0
2270564,ABASTO EL SURTIDOR DE JOHANNA JD,1128107690.0,COLOMBIA,39380006,SANTANDER,NORTE DE SANTANDER,54001,CÚCUTA,HIPINTO CUCUTA,,7.892922,-72.494859,7761,MINIMERCADOS,286927,AUTOSERVICIOS,312428,C,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,CLL 7 4 168,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1128107690.0
2271065,ABASTO MEKAFULL,101078538.0,COLOMBIA,39380002,COSTA,ATLÁNTICO,8001,BARRANQUILLA,POSTOBON BARRANQUILLA,,10.9363651,-74.8249776,7761,MINIMERCADOS,286927,AUTOSERVICIOS,312427,B,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,CL 91 2 01,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,101078538.0
